checkpoint	method	class_id	class_name	support	precision	recall	f1	tp	fp	fn
step_00011000	one_mer_nearest_centroid	0	background	16	0.2	0.125	0.15384615384615385	2	8	14
step_00011000	one_mer_nearest_centroid	1	coding	16	0.15384615384615385	0.125	0.13793103448275862	2	11	14
step_00011000	one_mer_nearest_centroid	2	gene_body	16	0.0	0.0	0.0	0	14	16
step_00011000	one_mer_nearest_centroid	3	promoter	16	0.2222222222222222	0.375	0.27906976744186046	6	21	10
step_00011000	one_mer_nearest_centroid	4	splice	16	0.4	0.125	0.19047619047619047	2	3	14
step_00011000	one_mer_nearest_centroid	5	tes	16	0.0	0.0	0.0	0	8	16
step_00011000	one_mer_nearest_centroid	6	utr	16	0.2571428571428571	0.5625	0.3529411764705882	9	26	7
step_00011000	model_embedding_nearest_centroid	0	background	16	0.4090909090909091	0.5625	0.47368421052631576	9	13	7
step_00011000	model_embedding_nearest_centroid	1	coding	16	0.14285714285714285	0.0625	0.08695652173913043	1	6	15
step_00011000	model_embedding_nearest_centroid	2	gene_body	16	0.08333333333333333	0.0625	0.07142857142857144	1	11	15
step_00011000	model_embedding_nearest_centroid	3	promoter	16	0.21739130434782608	0.3125	0.2564102564102564	5	18	11
step_00011000	model_embedding_nearest_centroid	4	splice	16	0.2857142857142857	0.375	0.3243243243243243	6	15	10
step_00011000	model_embedding_nearest_centroid	5	tes	16	0.25	0.125	0.16666666666666666	2	6	14
step_00011000	model_embedding_nearest_centroid	6	utr	16	0.21052631578947367	0.25	0.22857142857142856	4	15	12
step_00011000	model_region_head_argmax	0	background	16	1.0	0.125	0.2222222222222222	2	0	14
step_00011000	model_region_head_argmax	1	coding	16	0.15384615384615385	0.75	0.25531914893617025	12	66	4
step_00011000	model_region_head_argmax	2	gene_body	16	1.0	0.0625	0.11764705882352941	1	0	15
step_00011000	model_region_head_argmax	3	promoter	16	0.1111111111111111	0.1875	0.13953488372093023	3	24	13
step_00011000	model_region_head_argmax	4	splice	16	0.0	0.0	0.0	0	0	16
step_00011000	model_region_head_argmax	5	tes	16	0.0	0.0	0.0	0	0	16
step_00011000	model_region_head_argmax	6	utr	16	0.75	0.1875	0.3	3	1	13
