class	support	tp	fp	fn	precision	recall	f1	version_id	task	probe	method
coding	8	1	6	7	0.142857	0.125	0.133333	formal_caduceus_rc_stageB_step5000	region_bucket_classification	nearest_centroid	CropGenome-FM formal CaduceusRC frozen embedding
splice	8	0	0	8	0	0	0	formal_caduceus_rc_stageB_step5000	region_bucket_classification	nearest_centroid	CropGenome-FM formal CaduceusRC frozen embedding
promoter	8	2	5	6	0.285714	0.25	0.266667	formal_caduceus_rc_stageB_step5000	region_bucket_classification	nearest_centroid	CropGenome-FM formal CaduceusRC frozen embedding
utr	8	1	10	7	0.0909091	0.125	0.105263	formal_caduceus_rc_stageB_step5000	region_bucket_classification	nearest_centroid	CropGenome-FM formal CaduceusRC frozen embedding
tes	8	2	11	6	0.153846	0.25	0.190476	formal_caduceus_rc_stageB_step5000	region_bucket_classification	nearest_centroid	CropGenome-FM formal CaduceusRC frozen embedding
gene_body	8	2	5	6	0.285714	0.25	0.266667	formal_caduceus_rc_stageB_step5000	region_bucket_classification	nearest_centroid	CropGenome-FM formal CaduceusRC frozen embedding
background	8	7	4	1	0.636364	0.875	0.736842	formal_caduceus_rc_stageB_step5000	region_bucket_classification	nearest_centroid	CropGenome-FM formal CaduceusRC frozen embedding
coding	8	0	2	8	0	0	0	formal_caduceus_rc_stageB_step5000	region_bucket_classification	nearest_centroid	1-mer composition baseline
splice	8	1	10	7	0.0909091	0.125	0.105263	formal_caduceus_rc_stageB_step5000	region_bucket_classification	nearest_centroid	1-mer composition baseline
promoter	8	0	2	8	0	0	0	formal_caduceus_rc_stageB_step5000	region_bucket_classification	nearest_centroid	1-mer composition baseline
utr	8	1	1	7	0.5	0.125	0.2	formal_caduceus_rc_stageB_step5000	region_bucket_classification	nearest_centroid	1-mer composition baseline
tes	8	2	3	6	0.4	0.25	0.307692	formal_caduceus_rc_stageB_step5000	region_bucket_classification	nearest_centroid	1-mer composition baseline
gene_body	8	5	22	3	0.185185	0.625	0.285714	formal_caduceus_rc_stageB_step5000	region_bucket_classification	nearest_centroid	1-mer composition baseline
background	8	1	6	7	0.142857	0.125	0.133333	formal_caduceus_rc_stageB_step5000	region_bucket_classification	nearest_centroid	1-mer composition baseline
